id	replacement
3595651	3595649
5559029	1031587
4130487	704181
3599434	102473
3596046	520554
5835406	193407
3598038	662800
3600556	1039513
4130646	455686
6375843	512918
5857065	892214
3599676	3599597
5857286	3599080
5266838	909768
3597480	96147
4131420	3597593
5859964	954738
3597209	532751
4947625	893125
3597797	67919
5857098	3600596
5559009	3600604
3597399	893125
3597249	6029
5559033	565816
3598559	2175
6155425	1009864
6151544	263139
3599780	317448
5835365	931451
5852498	119081
5857125	810558
5835391	3600673
3598456	31182
3598262	265349
5859967	8285
3597253	463018
4131320	288654
3597444	559262
3598754	376597
3598182	467530
806165	44690
5857120	129402
3596236	806927
3599363	3598432
3597653	991087
6372639	3604082
3599639	3598476
3599743	3597665
5560129	701202
3597443	1089642
3597234	3597204
3598596	848366
3599446	285057
3596197	283167
3597278	561203
5857213	556660
4131378	3597634
3597267	759621
6137948	5340820
3597250	463022
3598016	563268
3597220	335230
3597225	384466
3597189	956241
3599090	384301
3597574	662953
4947779	4947763
3597213	935122
3597205	45750
6372981	927349
3597879	3597871
6151493	952537
3598988	332239
3597222	900160
3599992	3599969
4131765	3597889
4131764	3597886
5857307	727889
3599724	477306
6138496	816655
5857140	525756
5557470	987104
3597256	478097
6151818	3605630
4947786	4947765
5559046	190884
5340767	32331
3597286	561205
6155039	6138322
3598617	848366
3598821	1082362
3599686	884746
773834	238155
3596332	3596316
3599766	1034069
5835423	549518
3599143	3599140
3598675	269791
3597186	315418
5559017	901453
3599802	302445
3598172	287312
3596136	285806
3599487	647109
5859894	544649
3599880	3599095
952615	701710
3598674	857814
5857364	932505
4131514	3597407
3598875	907907
5859863	786420
3597980	3597979
3599670	3598459
3599205	1036002
5859947	932504
5835489	515141
4131385	3597623
3598991	683470
5835399	238478
3597174	292633
6152025	309060
