uid	|	parent_uid	|	name	|	rank	|	sourceinfo	|	uniqname	|	flags	|	
3605516	|	363022	|	Agnopteridae	|	no rank	|	gbif:4848578,irmng:100761	|		|	extinct,incertae_sedis	|	
3605515	|	3605516	|	Agnopterus	|	no rank	|	gbif:4848579,irmng:1300221	|		|	extinct,incertae_sedis	|	
7659107	|	3605515	|	Agnopterus hantoniensis	|	no rank	|	gbif:9652407	|		|	extinct,incertae_sedis	|	
7659109	|	3605515	|	Agnopterus turgaiensis	|	no rank	|	gbif:9733292	|		|	extinct,incertae_sedis	|	
7659108	|	3605515	|	Agnopterus laurillardi	|	no rank	|	gbif:9769695	|		|	extinct,incertae_sedis	|	
363030	|	241846	|	Columbiformes	|	order	|	ncbi:8929,worms:196064,gbif:1446,irmng:10043	|		|	sibling_higher	|	
4130639	|	363030	|	unclassified Columbiformes	|	no rank - terminal	|	ncbi:791187	|		|	not_otu,was_container	|	
938413	|	363030	|	Columbidae	|	family	|	ncbi:8930,worms:196065,gbif:5233,irmng:101600	|		|		|	
177605	|	938413	|	Scardafella	|	genus	|	ncbi:115698	|		|		|	
28925	|	177605	|	Scardafella squammata	|	species	|	ncbi:115699,gbif:2495888,irmng:10995217	|		|		|	
1092651	|	938413	|	Zenaida	|	genus	|	ncbi:47244,gbif:2495346,irmng:1352560	|		|		|	
183576	|	1092651	|	Zenaida macroura	|	species	|	ncbi:47245,gbif:2495347,irmng:10195247	|		|		|	
715580	|	1092651	|	Zenaida asiatica	|	species	|	ncbi:93382,gbif:2495370,irmng:11057819	|		|		|	
853670	|	1092651	|	Zenaida meloda	|	species	|	ncbi:115710,gbif:2495375,irmng:10751483	|		|		|	
329066	|	1092651	|	Zenaida galapagoensis	|	species	|	ncbi:115708,gbif:2495376,irmng:10761831	|		|		|	
329068	|	1092651	|	Zenaida graysoni	|	species	|	ncbi:115709,gbif:2495357,irmng:10465147	|		|		|	
873990	|	1092651	|	Zenaida auriculata	|	species	|	ncbi:115703,gbif:2495358,irmng:10681396	|		|		|	
873995	|	1092651	|	Zenaida aurita	|	species	|	ncbi:115704,gbif:2495353,irmng:11212171	|		|		|	
7659266	|	1092651	|	Zenaida plumbescens	|	species	|	gbif:8720937	|		|		|	
7659267	|	1092651	|	Zenaida ruficauda	|	species	|	gbif:8721563	|		|		|	
7659270	|	1092651	|	Zenaida yucatanensis	|	species	|	gbif:8743441	|		|		|	
7659262	|	1092651	|	Zenaida hypoleuca	|	species	|	gbif:8751113	|		|		|	
7659263	|	1092651	|	Zenaida innotata	|	species	|	gbif:8757321	|		|		|	
7659269	|	1092651	|	Zenaida stenura	|	species	|	gbif:8816358	|		|		|	
7659259	|	1092651	|	Zenaida bimaculata	|	species	|	gbif:8851101	|		|		|	
7659258	|	1092651	|	Zenaida amabilis	|	species	|	gbif:8889994	|		|		|	
7659265	|	1092651	|	Zenaida pentheria	|	species	|	gbif:8946306	|		|		|	
7659264	|	1092651	|	Zenaida jessieae	|	species	|	gbif:9128711	|		|		|	
7659268	|	1092651	|	Zenaida souleyetiana	|	species	|	gbif:9135259	|		|		|	
7659261	|	1092651	|	Zenaida galapagensis	|	species	|	gbif:9141836	|		|		|	
7659260	|	1092651	|	Zenaida bogotensis	|	species	|	gbif:9225548	|		|		|	
5559044	|	938413	|	Zentrygon	|	genus	|	ncbi:1471558	|		|		|	
120591	|	5559044	|	Zentrygon lawrencii	|	species	|	ncbi:977919,gbif:2496114,irmng:10200103	|		|		|	
120593	|	5559044	|	Zentrygon goldmani	|	species	|	ncbi:977918,gbif:2496104,irmng:10200102	|		|		|	
602971	|	5559044	|	Zentrygon costaricensis	|	species	|	ncbi:262116,gbif:2496113,irmng:10890853	|		|		|	
602976	|	5559044	|	Zentrygon albifacies	|	species	|	ncbi:262114,gbif:2496112,irmng:10213800	|		|		|	
602978	|	5559044	|	Zentrygon chiriquensis	|	species	|	ncbi:262115,gbif:2496133,irmng:10213801	|		|		|	
414983	|	5559044	|	Zentrygon frenata	|	species	|	ncbi:471131,gbif:2496126,irmng:11199710	|		|		|	
120585	|	414983	|	Zentrygon frenata frenata	|	subspecies	|	ncbi:977917	|		|	infraspecific	|	
120587	|	414983	|	Zentrygon frenata erythropareia	|	subspecies	|	ncbi:977916	|		|	infraspecific	|	
300042	|	938413	|	Ducula	|	genus	|	ncbi:115625,gbif:2495933,irmng:1324384	|		|		|	
51612	|	300042	|	Ducula melanochroa	|	species	|	ncbi:796398,gbif:2495970,irmng:11355864	|		|		|	
380070	|	300042	|	Ducula rufigaster	|	species	|	ncbi:444138,gbif:2496018,irmng:10855605	|		|		|	
506102	|	300042	|	Ducula zoeae	|	species	|	ncbi:187116,gbif:2496022,irmng:10589929	|		|		|	
506104	|	300042	|	Ducula aenea	|	species	|	ncbi:187114,gbif:2495934,irmng:10192873	|		|		|	
5223326	|	506104	|	Ducula aenea paulina	|	subspecies	|	ncbi:1390558	|		|	infraspecific	|	
506105	|	300042	|	Ducula pinon	|	species	|	ncbi:187115,gbif:2495954,irmng:11037731	|		|		|	
6151198	|	300042	|	Ducula luctuosa	|	species	|	ncbi:1965247	|		|		|	
3596543	|	300042	|	Ducula galeata	|	species	|	ncbi:1965248,gbif:2495987,irmng:10584611	|		|		|	
3596557	|	300042	|	Ducula basilica	|	species	|	ncbi:1965249,gbif:2495951,irmng:11270670	|		|		|	
3596541	|	300042	|	Ducula badia	|	species	|	ncbi:1463953,gbif:2495993,irmng:10192874	|		|		|	
3596540	|	300042	|	Ducula bakeri	|	species	|	ncbi:915431,gbif:2495980,irmng:11099783	|		|		|	
3596533	|	300042	|	Ducula aurorae	|	species	|	ncbi:1965246,gbif:2495967,irmng:10215190	|		|		|	
3596554	|	300042	|	Ducula forsteni	|	species	|	ncbi:1965262,gbif:2496021,irmng:10192876	|		|		|	
3596536	|	300042	|	Ducula brenchleyi	|	species	|	ncbi:1965250,gbif:2495982,irmng:11181564	|		|		|	
3596550	|	300042	|	Ducula mullerii	|	species	|	ncbi:1965264,gbif:2495971,irmng:10192877	|		|		|	
3596538	|	300042	|	Ducula myristicivora	|	species	|	ncbi:1965265,gbif:2495990,irmng:11035250	|		|		|	
3596548	|	300042	|	Ducula oceanica	|	species	|	ncbi:1965267,gbif:2495974,irmng:11167579	|		|		|	
3596558	|	300042	|	Ducula latrans	|	species	|	ncbi:1965263,gbif:2495988,irmng:10584612	|		|		|	
449659	|	300042	|	Ducula bicolor	|	species	|	ncbi:115645,gbif:2496001,irmng:10722263	|		|		|	
3596535	|	300042	|	Ducula finschii	|	species	|	ncbi:1965261,gbif:2495964,irmng:11218581	|		|		|	
3596552	|	300042	|	Ducula goliath	|	species	|	ncbi:1965268,gbif:2495966,irmng:11303632	|		|		|	
3596551	|	300042	|	Ducula chalconota	|	species	|	ncbi:1965251,gbif:2496014,irmng:10192875	|		|		|	
437806	|	300042	|	Ducula pistrinaria	|	species	|	ncbi:262127,gbif:2496009,irmng:10190149	|		|		|	
470977	|	300042	|	Ducula rubricera	|	species	|	ncbi:262126,gbif:2495983,irmng:10761791	|		|		|	
470998	|	300042	|	Ducula pacifica	|	species	|	ncbi:262125,gbif:2495948,irmng:10190148	|		|		|	
7659188	|	300042	|	Ducula insignis	|	species	|	gbif:8941611	|		|		|	
7659189	|	300042	|	Ducula melanura	|	species	|	gbif:8976476	|		|		|	
7659186	|	300042	|	Ducula concolor	|	species	|	gbif:9046969	|		|		|	
7659187	|	300042	|	Ducula griseicapilla	|	species	|	gbif:9187976	|		|		|	
3596544	|	300042	|	Ducula carola	|	species	|	gbif:2495958,irmng:10584609	|		|		|	
3596555	|	300042	|	Ducula poliocephala	|	species	|	gbif:2495962,irmng:10981919	|		|		|	
3596553	|	300042	|	Ducula cineracea	|	species	|	gbif:2495963,irmng:11081437	|		|		|	
3596537	|	300042	|	Ducula whartoni	|	species	|	gbif:2495965,irmng:10190153	|		|		|	
3596545	|	300042	|	Ducula pickeringii	|	species	|	gbif:2495981,irmng:11004136	|		|		|	
3596534	|	300042	|	Ducula concinna	|	species	|	gbif:2495986,irmng:10584610	|		|		|	
3596559	|	300042	|	Ducula mindorensis	|	species	|	gbif:2495989,irmng:11214330	|		|		|	
3596547	|	300042	|	Ducula perspicillata	|	species	|	gbif:2495998,irmng:11192929	|		|		|	
3596549	|	300042	|	Ducula radiata	|	species	|	gbif:2496017,irmng:10190151	|		|		|	
3596546	|	300042	|	Ducula lacernulata	|	species	|	gbif:2496023,irmng:10971356	|		|		|	
3596539	|	300042	|	Ducula constans	|	species	|	gbif:2496027,irmng:10215191	|		|		|	
3596532	|	300042	|	Ducula rosacea	|	species	|	gbif:2496028,irmng:10215192	|		|		|	
3596556	|	300042	|	Ducula neglecta	|	species	|	gbif:6101219	|		|		|	
3596542	|	300042	|	Ducula nicobarica	|	species	|	gbif:6101220	|		|		|	
6520344	|	300042	|	Ducula subflavescens_	|	species	|	additions-6520344-6520344:6520344	|		|		|	
506101	|	938413	|	Gallicolumba	|	genus	|	ncbi:187119,gbif:2495214,irmng:1045699	|		|		|	
17146	|	506101	|	Gallicolumba crinigera	|	species	|	ncbi:977959,gbif:2495224,irmng:10236047	|		|		|	
17148	|	506101	|	Gallicolumba canifrons	|	species	|	ncbi:977958,gbif:2495215,irmng:11212611	|		|		|	
17164	|	506101	|	Gallicolumba hoedtii	|	species	|	ncbi:977956,gbif:2495252,irmng:10583056	|		|		|	
380071	|	506101	|	Gallicolumba jobiensis	|	species	|	ncbi:444139,gbif:2495216,irmng:11354929	|		|		|	
537999	|	506101	|	Gallicolumba rubescens	|	species	|	ncbi:977964,gbif:2495253,irmng:10954968	|		|		|	
538002	|	506101	|	Gallicolumba sanctaecrucis	|	species	|	ncbi:977966,gbif:2495219,irmng:10455834	|		|		|	
538004	|	506101	|	Gallicolumba stairi	|	species	|	ncbi:977967,gbif:2495255,irmng:11027327	|		|		|	
538006	|	506101	|	Gallicolumba erythroptera	|	species	|	ncbi:977960,gbif:2495238,irmng:10197096	|		|		|	
538007	|	506101	|	Gallicolumba keayi	|	species	|	ncbi:977961,gbif:2495250,irmng:10909616	|		|		|	
538008	|	506101	|	Gallicolumba kubaryi	|	species	|	ncbi:977962,gbif:2495256,irmng:10582512	|		|		|	
538011	|	506101	|	Gallicolumba xanthonura	|	species	|	ncbi:977968,gbif:2495249,irmng:11353547	|		|		|	
538000	|	506101	|	Gallicolumba rufigula	|	species	|	ncbi:977965,gbif:2495243,irmng:10195546	|		|		|	
538010	|	506101	|	Gallicolumba platenae	|	species	|	ncbi:977963,gbif:2495251,irmng:10464528	|		|		|	
392935	|	506101	|	Gallicolumba tristigmata	|	species	|	ncbi:187122,gbif:2495220,irmng:11405561	|		|		|	
981610	|	506101	|	Gallicolumba luzonica	|	species	|	ncbi:187121,gbif:2495239,irmng:11111443	|		|		|	
3596521	|	506101	|	Gallicolumba ferruginea	|	species	|	gbif:2495229,irmng:11110359	|		|		|	
3596518	|	506101	|	Gallicolumba menagei	|	species	|	gbif:2495230,irmng:10915542	|		|		|	
7659191	|	506101	|	Gallicolumba nui	|	species	|	gbif:7967764	|		|		|	
7659190	|	506101	|	Gallicolumba longitarsus	|	species	|	gbif:8041520	|		|		|	
506103	|	938413	|	Ectopistes	|	genus	|	ncbi:187117,gbif:2495897,irmng:1012400	|		|		|	
506098	|	506103	|	Ectopistes migratorius	|	species	|	ncbi:187118,gbif:2495898,irmng:10458355	|		|		|	
3596522	|	506103	|	Ectopistes migratprius	|	species	|	irmng:10527832	|		|	hidden	|	
843912	|	938413	|	Drepanoptila	|	genus	|	ncbi:187112,gbif:2495723,irmng:1106717	|		|		|	
506107	|	843912	|	Drepanoptila holosericea	|	species	|	ncbi:187113,gbif:2495724,irmng:10998676	|		|		|	
506108	|	938413	|	Didunculus	|	genus	|	ncbi:187110,gbif:3242876,irmng:1285967	|		|		|	
506109	|	506108	|	Didunculus strigirostris	|	species	|	ncbi:187111,gbif:5231894,irmng:11282008	|		|		|	
509050	|	938413	|	Geopelia	|	genus	|	ncbi:115646,gbif:2495485,irmng:1297961	|		|		|	
3596611	|	509050	|	Geopelia humeralis	|	species	|	ncbi:915432,gbif:2495487,irmng:10590515	|		|		|	
449654	|	509050	|	Geopelia cuneata	|	species	|	ncbi:115648,gbif:2495494,irmng:10196793	|		|		|	
3596612	|	509050	|	Geopelia placida	|	species	|	ncbi:471127,gbif:2495495,irmng:11232573	|		|		|	
956251	|	509050	|	Geopelia striata	|	species	|	ncbi:444140,gbif:2495486,irmng:10897712	|		|		|	
3596614	|	509050	|	Geopelia maugei	|	species	|	gbif:2495492,irmng:10235488	|		|		|	
3596613	|	509050	|	Geopelia shortridgei	|	species	|	gbif:4851658,irmng:10758062	|		|		|	
6151219	|	509050	|	Geopelia tranquilla	|	species	|	gbif:7356889	|		|		|	
938415	|	938413	|	Columba	|	genus	|	ncbi:8931,worms:558544,gbif:2495404,irmng:1313394	|		|		|	
51607	|	938415	|	Columba vitiensis	|	species	|	ncbi:796397,gbif:9300216,irmng:10588849	|		|		|	
87904	|	938415	|	Columba janthina	|	species	|	ncbi:337444,gbif:5231838,irmng:10663220	|		|		|	
331474	|	87904	|	Columba janthina nitens	|	subspecies	|	ncbi:985682	|		|	infraspecific	|	
