TAXON_ORDER,SPECIES_CODE,TAXON_CONCEPT_ID,PRIMARY_COM_NAME,SCI_NAME,ORDER1,FAMILY,ott_id,ott_name,ott_tax_sources,ott_match_type,H_M_name,H_M_match_type,Birdlife_name,Birdlife_match_type,IOC_name,IOC_match_type
210,liskiw1,avibase-187706CF,Little Spotted Kiwi,Apteryx owenii,Apterygiformes,Apterygidae (Kiwis),241844,Apteryx owenii,"ncbi:8824,gbif:2495142,irmng:10862264",canonical_match,Apteryx owenii,concepts_match,Apteryx owenii,concepts_match,Apteryx owenii,concepts_match
211,grskiw1,avibase-0D8B9E40,Great Spotted Kiwi,Apteryx haastii,Apterygiformes,Apterygidae (Kiwis),241836,Apteryx haastii,"ncbi:8823,gbif:2495139,irmng:10218701",canonical_match,Apteryx haastii,concepts_match,Apteryx haastii,concepts_match,Apteryx haastii,concepts_match
213,horscr1,avibase-71BA40DC,Horned Screamer,Anhima cornuta,Anseriformes,Anhimidae (Screamers),767829,Anhima cornuta,"ncbi:56280,gbif:2497983,irmng:10593076",canonical_match,Anhima cornuta,concepts_match,Anhima cornuta,concepts_match,Anhima cornuta,concepts_match
214,souscr1,avibase-91194BE3,Southern Screamer,Chauna torquata,Anseriformes,Anhimidae (Screamers),860132,Chauna torquata,"ncbi:30388,gbif:5959222,irmng:10214742",canonical_match,Chauna torquata,concepts_match,Chauna torquata,concepts_match,Chauna torquata,concepts_match
215,norscr1,avibase-013B2B0B,Northern Screamer,Chauna chavaria,Anseriformes,Anhimidae (Screamers),241848,Chauna chavaria,"ncbi:8829,gbif:5959223,irmng:11192735",canonical_match,Chauna chavaria,concepts_match,Chauna chavaria,concepts_match,Chauna chavaria,concepts_match
216,maggoo1,avibase-89D5434B,Magpie Goose,Anseranas semipalmata,Anseriformes,Anseranatidae (Magpie Goose),714464,Anseranas semipalmata,"ncbi:8851,gbif:2497981,irmng:10718729",canonical_match,Anseranas semipalmata,concepts_match,Anseranas semipalmata,concepts_match,Anseranas semipalmata,concepts_match
217,spwduc1,avibase-1AAB20B0,Spotted Whistling-Duck,Dendrocygna guttata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",737607,Dendrocygna guttata,"ncbi:60181,gbif:2498397,irmng:10457555",canonical_match,Dendrocygna guttata,concepts_match,Dendrocygna guttata,concepts_match,Dendrocygna guttata,concepts_match
218,plwduc1,avibase-A467AD00,Plumed Whistling-Duck,Dendrocygna eytoni,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",662615,Dendrocygna eytoni,"ncbi:8875,gbif:2498405,irmng:10586115",canonical_match,Dendrocygna eytoni,concepts_match,Dendrocygna eytoni,concepts_match,Dendrocygna eytoni,concepts_match
219,wfwduc1,avibase-A534AFEA,White-faced Whistling-Duck,Dendrocygna viduata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",662622,Dendrocygna viduata,"ncbi:8876,gbif:2498396,irmng:11254854",canonical_match,Dendrocygna viduata,concepts_match,Dendrocygna viduata,concepts_match,Dendrocygna viduata,concepts_match
221,bbwduc,avibase-C01A22D6,Black-bellied Whistling-Duck,Dendrocygna autumnalis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",662608,Dendrocygna autumnalis,"ncbi:8873,worms:422567,gbif:2498393,irmng:10189259",canonical_match,Dendrocygna autumnalis,concepts_match,Dendrocygna autumnalis,concepts_match,Dendrocygna autumnalis,concepts_match
224,wiwduc1,avibase-DC65FCE7,West Indian Whistling-Duck,Dendrocygna arborea,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",662604,Dendrocygna arborea,"ncbi:8871,worms:422568,gbif:2498406,irmng:11232988",canonical_match,Dendrocygna arborea,concepts_match,Dendrocygna arborea,concepts_match,Dendrocygna arborea,concepts_match
226,fuwduc,avibase-9A60617E,Fulvous Whistling-Duck,Dendrocygna bicolor,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",662618,Dendrocygna bicolor,"ncbi:8874,worms:212674,gbif:2498402,irmng:10189260",canonical_match,Dendrocygna bicolor,concepts_match,Dendrocygna bicolor,concepts_match,Dendrocygna bicolor,concepts_match
229,wawduc1,avibase-69D272A6,Wandering Whistling-Duck,Dendrocygna arcuata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",662612,Dendrocygna arcuata,"ncbi:8872,gbif:2498398,irmng:11254501",canonical_match,Dendrocygna arcuata,concepts_match,Dendrocygna arcuata,concepts_match,Dendrocygna arcuata,concepts_match
233,lewduc1,avibase-BD683E6E,Lesser Whistling-Duck,Dendrocygna javanica,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",737604,Dendrocygna javanica,"ncbi:60182,gbif:2498404,irmng:11096649",canonical_match,Dendrocygna javanica,concepts_match,Dendrocygna javanica,concepts_match,Dendrocygna javanica,concepts_match
237,whbduc1,avibase-2EEDACD5,White-backed Duck,Thalassornis leuconotus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",539138,Thalassornis leuconotus,"ncbi:56306,worms:212714,gbif:2498229,irmng:10731887",canonical_match,Thalassornis leuconotus,concepts_match,Thalassornis leuconotus,concepts_match,Thalassornis leuconotus,concepts_match
240,bahgoo,avibase-B7159EF0,Bar-headed Goose,Anser indicus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",190897,Anser indicus,"ncbi:8846,gbif:2498035,irmng:10189255",canonical_match,Anser indicus,concepts_match,Anser indicus,concepts_match,Anser indicus,concepts_match
241,empgoo,avibase-1E6F0F8D,Emperor Goose,Anser canagicus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",166688,Anser canagica,"ncbi:107021,gbif:2498162,irmng:11035259,irmng:11057155,irmng:10722789,irmng:10525325",synonym_match,Anser canagicus,concepts_match,Anser canagicus,concepts_match,Anser canagicus,concepts_match
242,snogoo,avibase-D3A260BC,Snow Goose,Anser caerulescens,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",190878,Anser caerulescens,"ncbi:8849,worms:159204,gbif:2498165,irmng:11167814,irmng:10195594",canonical_match,Anser caerulescens,concepts_match,Anser caerulescens,concepts_match,Anser caerulescens,concepts_match
245,rosgoo,avibase-7A24F57F,Ross's Goose,Anser rossii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",767830,Anser rossii,"ncbi:56281,worms:159086,irmng:10824526,irmng:10189256,irmng:10189258",canonical_match,Anser rossii,concepts_match,Anser rossii,concepts_match,Anser rossii,concepts_match
248,gragoo,avibase-4AED44E8,Graylag Goose,Anser anser,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",190887,Anser anser,"ncbi:8843,worms:416682,gbif:2498036,irmng:10195593",canonical_match,Anser anser,concepts_match,Anser anser,concepts_match,Anser anser,concepts_match
252,swagoo1,avibase-946E4517,Swan Goose,Anser cygnoides,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",190892,Anser cygnoides,"ncbi:8845,gbif:2498034,irmng:11245391",canonical_match,Anser cygnoid,concepts_match,Anser cygnoid,concepts_match,Anser cygnoides,concepts_match
255,gwfgoo,avibase-466E9077,Greater White-fronted Goose,Anser albifrons,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",430239,Anser albifrons,"ncbi:50365,worms:159159,gbif:2498017,irmng:10587752",canonical_match,Anser albifrons,concepts_match,Anser albifrons,concepts_match,Anser albifrons,concepts_match
266,lwfgoo,avibase-184D2329,Lesser White-fronted Goose,Anser erythropus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",691333,Anser erythropus,"ncbi:132586,worms:416684,gbif:2498026,irmng:10189254",canonical_match,Anser erythropus,concepts_match,Anser erythropus,concepts_match,Anser erythropus,concepts_match
268,taibeg1,avibase-BDB497A3,Taiga Bean-Goose,Anser fabalis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",325140,Anser fabalis,"ncbi:132587,worms:416685,gbif:2498027,irmng:11303089",canonical_match,Anser fabalis,child_of,Anser fabalis,child_of,Anser fabalis,concepts_match
272,tunbeg1,avibase-AD849FCB,Tundra Bean-Goose,Anser serrirostris,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",3595909,Anser serrirostris,"ncbi:2606890,gbif:9455781",canonical_match,Anser fabalis,child_of,Anser fabalis,child_of,Anser serrirostris,concepts_match
276,pifgoo,avibase-AFA7EE74,Pink-footed Goose,Anser brachyrhynchus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",970372,Anser brachyrhynchus,"ncbi:132585,worms:416683,gbif:2498024,irmng:10767173",canonical_match,Anser brachyrhynchus,concepts_match,Anser brachyrhynchus,concepts_match,Anser brachyrhynchus,concepts_match
279,brant,avibase-3E04020B,Brant,Branta bernicla,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",135287,Branta bernicla,"ncbi:184712,worms:159175,gbif:5232446,irmng:11345921",canonical_match,Branta bernicla,concepts_match,Branta bernicla,concepts_match,Branta bernicla,concepts_match
